Season;Player;injury_matches_missed;Nation;Pos;Squad;Playing Time_MP;Born;Playing Time_Starts;Playing Time_Min;Playing Time_90s;Performance_Gls;Performance_Ast;Performance_G+A;Performance_G-PK;Performance_PK;Performance_PKatt;Performance_CrdY;Performance_CrdR;Expected_xG;Expected_npxG;Expected_xAG;Expected_npxG+xAG;Progression_PrgC;Progression_PrgP;Progression_PrgR;Per 90 Minutes_Gls;Per 90 Minutes_Ast;Per 90 Minutes_G+A;Per 90 Minutes_G-PK;Per 90 Minutes_G+A-PK;Per 90 Minutes_xG;Per 90 Minutes_xAG;Per 90 Minutes_xG+xAG;Per 90 Minutes_npxG;Per 90 Minutes_npxG+xAG
2025-26;Marco Carnesecchi;0;it ITA;GK;Atalanta;6;2000;6;540;6.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2025-26;Raoul Bellanova;0;it ITA;DF,MF;Atalanta;6;2000;5;348;3.9;0;0;0;0;0;0;1;0;0.2;0.2;0.6;0.8;14;11;27;0.00;0.00;0.00;0.00;0.00;0.06;0.14;0.20;0.06;0.20
2020-21;Remo Freuler;;ch SUI;MF;Atalanta;7;1992;7;522;5.8;0;1;1;0;0;0;1;1;0.4;0.4;1.3;1.7;9;29;5;0.00;0.17;0.17;0.00;0.17;0.07;0.23;0.29;0.07;0.29
2020-21;Robin Gosens;;de GER;DF;Atalanta;7;1994;7;563;6.3;1;0;1;1;0;0;1;0;1.1;1.1;0.2;1.3;10;23;38;0.16;0.00;0.16;0.16;0.16;0.18;0.03;0.21;0.18;0.21
2020-21;Luis Muriel;;co COL;FW,MF;Atalanta;7;1991;5;349;3.9;3;0;3;3;0;0;0;0;1.6;1.6;1.0;2.7;11;8;34;0.77;0.00;0.77;0.77;0.77;0.42;0.27;0.69;0.42;0.69
2020-21;Matteo Pessina;;it ITA;MF;Atalanta;7;1997;5;486;5.4;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0.4;10;25;20;0.00;0.00;0.00;0.00;0.00;0.05;0.03;0.07;0.05;0.07
2020-21;Cristian Romero;;ar ARG;DF;Atalanta;7;1998;7;625;6.9;1;1;2;1;0;0;2;0;0.6;0.6;0.8;1.4;2;13;4;0.14;0.14;0.29;0.14;0.29;0.08;0.12;0.20;0.08;0.20
2024-25;Ademola Lookman;;ng NGA;FW,MF;Atalanta;7;1997;5;479;5.3;5;1;6;5;0;1;0;0;5.2;4.4;2.8;7.2;31;22;74;0.94;0.19;1.13;0.94;1.13;0.97;0.52;1.50;0.83;1.35
2024-25;Nicolò Zaniolo;;it ITA;FW,MF;Atalanta;7;1999;0;133;1.5;1;0;1;1;0;0;1;0;1.0;1.0;0.1;1.1;4;3;14;0.68;0.00;0.68;0.68;0.68;0.67;0.05;0.72;0.67;0.72
2020-21;Berat Djimsiti;;al ALB;DF;Atalanta;8;1993;8;720;8.0;0;0;0;0;0;0;2;0;0.2;0.2;0.2;0.4;6;19;12;0.00;0.00;0.00;0.00;0.00;0.02;0.03;0.05;0.02;0.05
2020-21;Rafael Tolói;;it ITA;DF;Atalanta;8;1990;7;623;6.9;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;2;27;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2020-21;Duván Zapata;;co COL;FW;Atalanta;8;1991;6;522;5.8;3;2;5;3;0;0;0;0;4.7;4.7;0.3;5.0;24;18;63;0.52;0.34;0.86;0.52;0.86;0.82;0.05;0.87;0.82;0.87
2024-25;Raoul Bellanova;;it ITA;DF;Atalanta;8;2000;6;463;5.1;1;0;1;1;0;0;1;0;0.5;0.5;0.4;0.8;23;16;34;0.19;0.00;0.19;0.19;0.19;0.09;0.07;0.16;0.09;0.16
2024-25;Juan Cuadrado;;co COL;DF;Atalanta;8;1988;2;320;3.6;0;1;1;0;0;0;1;0;0.4;0.4;2.2;2.6;14;22;25;0.00;0.28;0.28;0.00;0.28;0.12;0.61;0.73;0.12;0.73
2024-25;Isak Hien;;se SWE;DF;Atalanta;8;1999;8;709;7.9;0;1;1;0;0;0;2;0;0.7;0.7;0.3;1.0;5;19;3;0.00;0.13;0.13;0.00;0.13;0.09;0.04;0.13;0.09;0.13
2024-25;Lazar Samardzic;;rs SRB;MF;Atalanta;8;2002;2;293;3.3;1;1;2;1;0;0;1;0;1.2;1.2;1.6;2.8;16;23;30;0.31;0.31;0.61;0.31;0.61;0.37;0.48;0.85;0.37;0.85
2024-25;Marco Carnesecchi;;it ITA;GK;Atalanta;9;2000;9;810;9.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2024-25;Berat Djimsiti;;al ALB;DF;Atalanta;9;1993;8;678;7.5;1;0;1;1;0;0;1;0;1.1;1.1;0.2;1.3;8;48;7;0.13;0.00;0.13;0.13;0.13;0.15;0.02;0.17;0.15;0.17
2024-25;Éderson;;br BRA;MF;Atalanta;9;1999;8;739;8.2;1;0;1;1;0;0;4;0;0.4;0.4;0.6;1.0;12;62;21;0.12;0.00;0.12;0.12;0.12;0.05;0.07;0.12;0.05;0.12
2024-25;Sead Kolašinac;;ba BIH;DF;Atalanta;9;1993;9;633;7.0;1;1;2;1;0;0;2;0;1.1;1.1;0.6;1.7;17;53;13;0.14;0.14;0.28;0.14;0.28;0.15;0.09;0.24;0.15;0.24
2024-25;Davide Zappacosta;;it ITA;DF;Atalanta;9;1992;8;697;7.7;0;5;5;0;0;0;0;0;1.1;1.1;3.3;4.4;42;43;90;0.00;0.65;0.65;0.00;0.65;0.14;0.42;0.56;0.14;0.56
2024-25;Charles De Ketelaere;;be BEL;FW,MF;Atalanta;10;2001;8;699;7.8;4;5;9;3;1;1;0;0;2.7;1.9;5.0;6.8;37;30;75;0.52;0.64;1.16;0.39;1.03;0.34;0.64;0.98;0.24;0.88
2024-25;Mario Pašalić;;hr CRO;MF;Atalanta;10;1995;8;603;6.7;3;1;4;3;0;0;1;0;3.8;3.8;0.4;4.2;15;35;23;0.45;0.15;0.60;0.45;0.60;0.56;0.07;0.63;0.56;0.63
2024-25;Mateo Retegui;;it ITA;FW;Atalanta;10;1999;8;569;6.3;3;0;3;3;0;1;0;0;4.7;3.8;0.5;4.3;17;12;50;0.47;0.00;0.47;0.47;0.47;0.74;0.08;0.81;0.59;0.67
2024-25;Marten de Roon;;nl NED;MF;Atalanta;10;1991;10;873;9.7;0;1;1;0;0;0;2;0;0.1;0.1;0.9;1.0;10;74;7;0.00;0.10;0.10;0.00;0.10;0.01;0.09;0.10;0.01;0.10
