Player,Team,Pos,Gls,lambda_final_goals,TopScorer_Prob,LogoFile
Maximiliano Araújo,Sporting CP,DF,1,1.424240470902613,0.0,Sporting CP.png
Mathys Tel,Tottenham,FW,0,0.10862794251849367,0.0,Tottenham.png
Dane Scarlett,Tottenham,MF,0,0.06461107073886094,0.0,Tottenham.png
Ben Davies,Tottenham,DF,0,1.0700818050319085,0.0,Tottenham.png
Destiny Udogie,Tottenham,DF,0,0.09439069433134809,0.0,Tottenham.png
Cristian Romero,Tottenham,DF,0,0.30226086919015666,0.0,Tottenham.png
Brennan Johnson,Tottenham,FW,1,1.9125638489849242,0.0,Tottenham.png
Trent Alexander-Arnold,Real Madrid,DF,0,0.8306955244003958,0.0,Real Madrid.png
Fran Garcia,Real Madrid,DF,0,0.3254873387173135,0.0,Real Madrid.png
Dani García,Olympiacos,MF,0,0.0736258702992216,0.0,Olympiacos.png
Gonzalo García,Real Madrid,FW,0,0.24634148127845307,0.0,Real Madrid.png
Lucas Hernández,Paris S-G,DF,0,0.5598110553196174,0.0,Paris S-G.png
João Neves,Paris S-G,MF,1,2.2647212815247486,0.0,Paris S-G.png
Marquinhos,Paris S-G,DF,1,2.3473325133126695,0.0,Paris S-G.png
Achraf Hakimi,Paris S-G,DF,0,0.4425163755114073,0.0,Paris S-G.png
Illia Zabarnyi,Paris S-G,DF,0,0.3314588529951761,0.0,Paris S-G.png
Fabián Ruiz Peña,Paris S-G,MF,1,1.8342492446564895,0.0,Paris S-G.png
Gonçalo Ramos,Paris S-G,FW,2,2.29787459734721,0.0,Paris S-G.png
Senny Mayulu,Paris S-G,"FW,MF",1,1.765412214757863,0.0,Paris S-G.png
Lee Kang-in,Paris S-G,"FW,MF",0,0.07265576116115596,0.0,Paris S-G.png
Lucas Chevalier,Paris S-G,GK,0,0.4080528293105489,0.0,Paris S-G.png
Warren Zaïre-Emery,Paris S-G,"MF,DF",0,0.3639355425443486,0.0,Paris S-G.png
Willian Pacho,Paris S-G,DF,2,2.9026895292743524,0.0,Paris S-G.png
Bradley Barcola,Paris S-G,FW,0,0.5591461014390889,0.0,Paris S-G.png
Myron Boadu,PSV Eindhoven,"MF,FW",0,0.02941545428542459,0.0,PSV Eindhoven.png
Ryan Flamingo,PSV Eindhoven,DF,0,0.34815759568964416,0.0,PSV Eindhoven.png
Esmir Bajraktarevic,PSV Eindhoven,"MF,FW",0,0.05331538304175197,0.0,PSV Eindhoven.png
Paul Wanner,PSV Eindhoven,MF,0,0.0719006045795829,0.0,PSV Eindhoven.png
Armando Obispo,PSV Eindhoven,DF,0,0.3229761163901326,0.0,PSV Eindhoven.png
Mauro Júnior,PSV Eindhoven,"MF,DF",0,0.2226837112203674,0.0,PSV Eindhoven.png
Ibrahim Mbaye,Paris S-G,"FW,MF",0,0.2233164000856766,0.0,Paris S-G.png
Quentin Ndjantou Mbitcha,Paris S-G,"FW,MF",0,0.20142156362927435,0.0,Paris S-G.png
Matvei Safonov,Paris S-G,GK,0,1.114124022834264,0.0,Paris S-G.png
Jajá,Pafos FC,"FW,MF",0,0.1355021432929429,0.0,Pafos FC.png
Chiquinho,Olympiacos,MF,1,1.4317099262536555,0.0,Olympiacos.png
João Pedro Araújo Correia,Pafos FC,DF,0,0.19040636520532475,0.0,Pafos FC.png
Ken Sema,Pafos FC,"DF,MF",0,0.05850063353049737,0.0,Pafos FC.png
Landry Dimata,Pafos FC,"FW,MF",0,0.04926230217134228,0.0,Pafos FC.png
Mons Bassouamina,Pafos FC,FW,0,0.030160185863412133,0.0,Pafos FC.png
Bruno Felipe Souza da Silva,Pafos FC,DF,0,0.1839120028176093,0.0,Pafos FC.png
Domingos Quina,Pafos FC,"MF,FW",0,0.11714793721850769,0.0,Pafos FC.png
Kostas Pileas,Pafos FC,DF,0,0.16040044341346046,0.0,Pafos FC.png
Jarell Quansah,Leverkusen,DF,0,0.2351657482236924,0.0,Leverkusen.png
Vlad Dragomir,Pafos FC,"MF,FW",0,0.1816659083753881,0.0,Pafos FC.png
Ivan Šunjić,Pafos FC,MF,0,0.10598273330247421,0.0,Pafos FC.png
Pedro Rodrigues,Pafos FC,MF,0,0.09004768152545588,0.0,Pafos FC.png
Mislav Oršić,Pafos FC,"MF,FW",1,1.4305780187949786,0.0,Pafos FC.png
Neofytos Michael,Pafos FC,GK,0,0.15566567937090584,0.0,Pafos FC.png
David Luiz,Pafos FC,DF,1,1.4387413463341316,0.0,Pafos FC.png
Derrick Luckassen,Pafos FC,DF,1,1.5038784781286496,0.0,Pafos FC.png
Bruno Langa,Pafos FC,DF,0,0.02132964804945388,0.0,Pafos FC.png
David Goldar,Pafos FC,DF,0,0.13167959732967002,0.0,Pafos FC.png
Couhaib Driouech,PSV Eindhoven,"MF,FW",3,3.3074687806173837,0.0,PSV Eindhoven.png
Sergiño Dest,PSV Eindhoven,DF,0,0.28418163531396945,0.0,PSV Eindhoven.png
Joey Veerman,PSV Eindhoven,MF,0,0.14135060717037076,0.0,PSV Eindhoven.png
Emmanuel Addai,Qarabag,FW,1,1.386009641423891,0.0,Qarabag.png
Kevin Medina,Qarabag,DF,0,0.09173107348028586,0.0,Qarabag.png
Camilo Marques,Qarabag,FW,2,2.6750940263678245,0.0,Qarabag.png
Mateusz Kochalski,Qarabag,GK,0,0.15925539844894654,0.0,Qarabag.png
Oleksii Kashchuk,Qarabag,"FW,MF",1,1.1088074272630748,0.0,Qarabag.png
Elvin Cəfərquliyev,Qarabag,DF,0,0.10391460104617639,0.0,Qarabag.png
Pedro Bicalho,Qarabag,MF,0,0.091012412592538,0.0,Qarabag.png
Toral Bayramov,Qarabag,"DF,FW",0,0.022177788821038484,0.0,Qarabag.png
Leandro Andrade,Qarabag,"FW,MF",3,3.492296874384422,0.0,Qarabag.png
Antonio Rüdiger,Real Madrid,DF,0,1.0510358466514282,0.0,Real Madrid.png
Matheus Silva,Qarabag,DF,1,1.317063066073472,0.0,Qarabag.png
Ferland Mendy,Real Madrid,DF,0,1.013912981352231,0.0,Real Madrid.png
Andriy Lunin,Real Madrid,GK,0,1.1145303001123759,0.0,Real Madrid.png
Endrick,Real Madrid,FW,0,0.04813175709094267,0.0,Real Madrid.png
Dani Carvajal,Real Madrid,DF,0,0.6427126408114817,0.0,Real Madrid.png
David Alaba,Real Madrid,DF,0,0.9287752500936465,0.0,Real Madrid.png
Éder Militão,Real Madrid,DF,0,0.43544867604978926,0.0,Real Madrid.png
Franco Mastantuono,Real Madrid,FW,0,0.5957393849670801,0.0,Real Madrid.png
Dean Huijsen,Real Madrid,DF,0,0.39353717456541254,0.0,Real Madrid.png
Bəhlul Mustafazadə,Qarabag,DF,0,0.15925539844894654,0.0,Qarabag.png
Abdellah Zoubir,Qarabag,"MF,FW",1,1.426863757264722,0.0,Qarabag.png
Guus Til,PSV Eindhoven,"FW,MF",2,3.0508406881670442,0.0,PSV Eindhoven.png
Ofri Arad,Qaırat Almaty,MF,1,1.0,0.0,
Jerdy Schouten,PSV Eindhoven,"DF,MF",0,0.23121182700769558,0.0,PSV Eindhoven.png
Anass Salah-Eddine,PSV Eindhoven,DF,0,0.22023689354181306,0.0,PSV Eindhoven.png
Ismael Saibari,PSV Eindhoven,"FW,MF",2,2.8155472912524138,0.0,PSV Eindhoven.png
Ivan Perišić,PSV Eindhoven,"MF,FW",1,1.6088062689757092,0.0,PSV Eindhoven.png
Dennis Man,PSV Eindhoven,"MF,FW",2,2.599450244744354,0.0,PSV Eindhoven.png
Matej Kovar,PSV Eindhoven,GK,0,0.235587227280971,0.0,PSV Eindhoven.png
Yarek Gasiorowski,PSV Eindhoven,DF,0,0.129771695737282,0.0,PSV Eindhoven.png
Olzhas Baibek,Qaırat Almaty,MF,1,1.0,0.0,
Dastan Satpayev,Qaırat Almaty,FW,1,1.0,0.0,
Nəriman Axundzadə,Qarabag,FW,0,0.02937191208095252,0.0,Qarabag.png
Edimilson Filho,Qaırat Almaty,FW,1,1.0,0.0,
Joni Montiel,Qarabag,MF,0,0.017537729697933466,0.0,Qarabag.png
Samy Mmaee,Qarabag,DF,0,0.07296372207527722,0.0,Qarabag.png
Chriso,Qarabag,MF,0,0.004417233664566784,0.0,Qarabag.png
Musa Qurbanlı,Qarabag,FW,0,0.0036712628016408646,0.0,Qarabag.png
Kady Borges,Qarabag,"MF,FW",0,0.17518399266632204,0.0,Qarabag.png
Dani Bolt,Qarabag,"DF,FW",0,0.017191807184853084,0.0,Qarabag.png
Marko Janković,Qarabag,MF,1,2.630147189590528,0.0,Qarabag.png
Claudio Echeverri,Leverkusen,MF,0,0.13419994756293432,0.0,Leverkusen.png
Weston McKennie,Juventus,"DF,MF",2,2.7753474455241265,0.0,Juventus.png
Edmond Tapsoba,Leverkusen,DF,0,0.2350222445389648,0.0,Leverkusen.png
Roony Bardghji,Barcelona,FW,0,0.04064951956079344,0.0,Barcelona.png
Antoine Griezmann,Atletico Madrid,FW,1,1.8007940119955683,0.0,Atletico Madrid.png
Conor Gallagher,Atletico Madrid,MF,1,1.4685164702851765,0.0,Atletico Madrid.png
Pablo Barrios,Atletico Madrid,MF,0,0.21200092903276183,0.0,Atletico Madrid.png
Pedro Fernandez,Barcelona,FW,0,0.7726382128300051,0.0,Barcelona.png
Marc Bernal,Barcelona,MF,0,0.060334916863940415,0.0,Barcelona.png
Wojciech Szczęsny,Barcelona,GK,0,0.6709970924056344,0.0,Barcelona.png
Raphinha,Barcelona,"FW,MF",0,0.6220474395916701,0.0,Barcelona.png
Joan García,Barcelona,GK,0,0.6709970924056344,0.0,Barcelona.png
Pedri,Barcelona,MF,0,0.2669024114332143,0.0,Barcelona.png
Giuliano Simeone,Atletico Madrid,MF,1,1.8187587038866617,0.0,Atletico Madrid.png
Dani Olmo,Barcelona,"MF,FW",0,0.09057977627495825,0.0,Barcelona.png
Andreas Christensen,Barcelona,"DF,MF",0,0.7290282373141309,0.0,Barcelona.png
Marc Casado,Barcelona,MF,0,0.3270940978458387,0.0,Barcelona.png
Ronald Araújo,Barcelona,DF,0,0.472063239266582,0.0,Barcelona.png
Lamine Yamal,Barcelona,FW,2,3.1891017084518385,0.0,Barcelona.png
Robert Lewandowski,Barcelona,FW,0,2.3461430383887945,0.0,Barcelona.png
Alejandro Balde,Barcelona,DF,0,0.1935452720514013,0.0,Barcelona.png
